# f[Hz],amplitude[V],phase[degrees]
3.650000000000000000e+08,2.167631208633602480e-01,1.999291151734391292e+01
3.700000000000000000e+08,2.047912919090228712e-01,1.937152417680364991e+01
3.750000000000000000e+08,1.930435966295454553e-01,2.456231233535390501e+01
3.800000000000000000e+08,1.802076367515841882e-01,2.395208686960466693e+01
3.850000000000000000e+08,1.667675547074525533e-01,2.242263929532989053e+01
3.900000000000000000e+08,1.526414509563376043e-01,2.397765648503646219e+01
3.950000000000000000e+08,1.390442225837316415e-01,2.611705525030982855e+01
4.000000000000000000e+08,1.262454184812465130e-01,1.926134060915155999e+01
4.050000000000000000e+08,1.137909013661205920e-01,2.683616879943580003e+01
4.100000000000000000e+08,1.018400592460009663e-01,3.284356350866472241e+01
4.150000000000000000e+08,9.043870998658273819e-02,3.469246437676542172e+01
4.200000000000000000e+08,8.022645651050834548e-02,3.369776342800580693e+01
4.250000000000000000e+08,7.136183037482345115e-02,3.672881275135755885e+01
4.300000000000000000e+08,6.222162081165338865e-02,3.772394182498135251e+01
4.350000000000000000e+08,5.351360283664986783e-02,4.207162670553204720e+01
4.400000000000000000e+08,4.599668902495415712e-02,4.752703697362574076e+01
4.450000000000000000e+08,3.974493624542577846e-02,4.798716484118679659e+01
4.500000000000000000e+08,3.434344682479989475e-02,5.543661750917917885e+01
4.550000000000000000e+08,2.954823760498902913e-02,5.519724732891123153e+01
4.600000000000000000e+08,2.503931529979415774e-02,6.086097455681700552e+01
4.650000000000000000e+08,2.110286626010879352e-02,6.348709087370662019e+01
4.700000000000000000e+08,1.775429404004952652e-02,6.720984754963556895e+01
